,년도,팀명,선수명,선수id,WAR,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA
0,2015,NC,테임즈,/player/detail/861,11.73,142,595,472,180,47,130,140,103,91,40,0.390,0.381,0.497,0.790,1.287,0.520
1,2015,넥센,박병호,/player/detail/221,8.96,140,622,528,181,53,129,146,78,161,10,0.403,0.343,0.436,0.714,1.150,0.472
2,2015,삼성,박석민,/player/detail/461,7.05,135,559,448,144,26,90,116,83,97,3,0.354,0.321,0.441,0.551,0.992,0.431
3,2015,롯데,강민호,/player/detail/738,7.03,123,456,380,118,35,63,86,60,112,0,0.353,0.311,0.421,0.639,1.060,0.444
4,2015,삼성,나바로,/player/detail/850,6.93,140,643,534,153,48,126,137,93,72,22,0.248,0.287,0.393,0.596,0.989,0.412
5,2015,넥센,유한준,/player/detail/237,6.90,139,598,520,188,23,103,116,67,71,3,0.380,0.362,0.430,0.579,1.009,0.431
6,2015,두산,김현수,/player/detail/668,6.13,141,630,512,167,28,103,121,101,63,11,0.323,0.326,0.438,0.541,0.979,0.421
7,2015,두산,양의지,/player/detail/647,5.51,132,513,442,144,20,70,93,39,64,5,0.341,0.326,0.405,0.523,0.928,0.399
8,2015,한화,김태균,/player/detail/25,5.30,133,524,408,129,21,61,104,98,80,3,0.346,0.316,0.457,0.539,0.996,0.430
9,2015,삼성,최형우,/player/detail/471,5.28,144,637,547,174,33,94,123,73,101,2,0.335,0.318,0.402,0.563,0.965,0.408
10,2015,kt,마르테,/player/detail/1286,5.25,115,487,425,148,20,85,89,51,60,0,0.363,0.348,0.414,0.569,0.983,0.414
11,2015,롯데,최준석,/player/detail/654,5.05,144,618,507,155,31,78,109,108,134,0,0.362,0.306,0.428,0.529,0.957,0.418
12,2015,롯데,아두치*,/player/detail/1306,4.73,132,594,526,165,28,105,106,55,118,24,0.357,0.314,0.384,0.557,0.941,0.395
13,2015,kt,박경수,/player/detail/370,4.68,137,537,440,125,22,75,73,74,115,6,0.336,0.284,0.399,0.507,0.906,0.395
14,2015,NC,나성범,/player/detail/836,4.46,144,622,564,184,28,112,135,33,127,23,0.374,0.326,0.373,0.553,0.926,0.390
15,2015,한화,이용규,/player/detail/135,4.41,124,585,493,168,4,94,42,68,45,28,0.367,0.341,0.428,0.424,0.852,0.383
16,2015,한화,정근우,/player/detail/559,4.41,126,552,468,148,12,99,66,61,66,21,0.347,0.316,0.403,0.466,0.869,0.385
17,2015,넥센,김하성,/player/detail/903,4.09,140,582,511,148,19,89,73,56,114,22,0.336,0.290,0.362,0.489,0.851,0.365
18,2015,삼성,구자욱,/player/detail/517,3.97,116,465,410,143,11,97,57,45,79,17,0.407,0.349,0.417,0.534,0.951,0.411
19,2015,KIA,이범호,/player/detail/122,3.68,138,514,437,118,28,60,79,57,91,3,0.280,0.270,0.372,0.519,0.891,0.382
20,2015,NC,박민우,/player/detail/830,3.52,141,617,520,158,3,111,47,73,108,46,0.373,0.304,0.399,0.404,0.803,0.364
21,2015,롯데,황재균,/player/detail/748,3.35,144,596,534,155,26,95,97,48,122,11,0.329,0.290,0.350,0.521,0.871,0.369
22,2015,한화,김경언,/player/detail/39,3.34,107,437,377,127,16,58,78,50,89,1,0.404,0.337,0.414,0.525,0.939,0.407
23,2015,롯데,손아섭,/player/detail/760,3.34,116,517,445,141,13,86,54,68,96,11,0.378,0.317,0.406,0.472,0.878,0.388
24,2015,삼성,이승엽,/player/detail/456,3.30,122,522,470,156,26,87,90,40,71,2,0.343,0.332,0.387,0.562,0.949,0.402
25,2015,SK,최정,/player/detail/560,3.19,81,330,275,81,17,43,58,46,78,5,0.350,0.295,0.401,0.542,0.943,0.404
26,2015,두산,김재호,/player/detail/657,2.93,133,488,410,126,3,63,50,54,42,7,0.331,0.307,0.386,0.402,0.788,0.356
27,2015,LG,박용택,/player/detail/324,2.91,128,533,487,159,18,66,83,34,73,11,0.350,0.326,0.370,0.503,0.873,0.374
28,2015,롯데,정훈,/player/detail/752,2.88,135,562,486,146,9,85,62,52,102,16,0.362,0.300,0.382,0.420,0.802,0.358
29,2015,LG,오지환,/player/detail/315,2.87,138,566,497,138,11,76,56,59,121,25,0.345,0.278,0.357,0.443,0.800,0.350
30,2015,한화,최진행*,/player/detail/44,2.70,109,410,333,97,18,55,64,65,101,0,0.364,0.291,0.410,0.505,0.915,0.397
31,2015,넥센,이택근,/player/detail/234,2.63,105,401,347,113,10,61,44,44,53,11,0.358,0.326,0.402,0.464,0.866,0.380
32,2015,KIA,김주찬,/player/detail/132,2.51,98,377,333,109,18,66,62,23,58,8,0.343,0.327,0.383,0.571,0.954,0.397
33,2015,KIA,브렛필,/player/detail/864,2.50,143,591,536,174,22,81,101,43,74,14,0.339,0.325,0.373,0.517,0.890,0.377
34,2015,넥센,스나이더,/player/detail/965,2.37,113,487,431,121,26,88,71,37,135,4,0.347,0.281,0.350,0.527,0.877,0.372
35,2015,SK,정의윤,/player/detail/326,2.35,59,222,193,66,14,35,44,20,27,3,0.338,0.342,0.419,0.617,1.036,0.437
36,2015,SK,브라운,/player/detail/1302,2.29,138,539,464,121,28,82,76,66,127,5,0.299,0.261,0.360,0.496,0.856,0.367
37,2015,넥센,김민성,/player/detail/226,2.20,118,489,445,135,16,60,71,31,62,1,0.322,0.303,0.357,0.465,0.822,0.357
38,2015,NC,이호준,/player/detail/821,2.19,131,518,449,132,24,48,110,61,102,0,0.332,0.294,0.381,0.510,0.891,0.381
39,2015,삼성,박한이,/player/detail/470,2.11,94,429,367,110,11,62,52,53,63,6,0.337,0.300,0.389,0.458,0.847,0.375
40,2015,삼성,채태인,/player/detail/463,2.09,104,373,333,116,8,35,49,33,92,0,0.456,0.348,0.408,0.477,0.885,0.387
41,2015,삼성,김상수,/player/detail/464,2.08,132,518,449,125,8,67,63,43,56,26,0.298,0.278,0.345,0.416,0.761,0.334
42,2015,kt,댄블랙,/player/detail/1346,2.04,54,225,198,66,12,25,32,25,52,0,0.403,0.333,0.413,0.576,0.989,0.421
43,2015,넥센,박동원,/player/detail/214,2.02,127,443,379,101,14,47,61,37,93,0,0.312,0.266,0.340,0.414,0.754,0.333
44,2015,넥센,윤석민,/player/detail/656,2.01,108,418,361,106,14,54,71,37,62,3,0.315,0.294,0.366,0.482,0.848,0.365
45,2015,두산,민병헌,/player/detail/670,1.94,129,561,491,149,12,80,75,50,74,7,0.333,0.303,0.373,0.426,0.799,0.355
46,2015,넥센,서건창,/player/detail/227,1.89,85,368,312,93,3,52,37,42,24,9,0.314,0.298,0.381,0.429,0.810,0.361
47,2015,삼성,박해민,/player/detail/505,1.89,144,608,525,154,0,96,47,56,126,60,0.384,0.293,0.362,0.362,0.724,0.329
48,2015,두산,오재원,/player/detail/658,1.85,120,474,411,115,11,60,59,47,94,31,0.335,0.280,0.356,0.418,0.774,0.343
49,2015,SK,김성현,/player/detail/562,1.80,129,449,397,118,8,49,48,31,42,1,0.315,0.297,0.357,0.408,0.765,0.341
50,2015,SK,이재원,/player/detail/554,1.76,140,559,489,138,17,58,100,54,85,1,0.309,0.282,0.363,0.427,0.790,0.348
51,2015,kt,장성우,/player/detail/790,1.70,111,435,384,111,10,51,65,41,73,1,0.327,0.289,0.351,0.414,0.765,0.338
52,2015,두산,오재일,/player/detail/662,1.67,66,213,180,52,14,33,36,28,49,0,0.319,0.289,0.387,0.594,0.981,0.409
